Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,โอ๊ต..1985,oatoat_thammi,https://www.tiktok.com/@oatoat_thammi,นี่คือความคิดนักลงทุน..ชอบคับ,16-11-2022,1879,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d4fdb76d7e72418fef2ad2c154fb2cff~c5_100x100.jpg?x-expires=1672887600&x-signature=NGrNk7tPElMC8dcy5Nq0xBUZaGM%3D,No,---,0
2,ณัฏฐ์ วิฆเนศ,natmitsu9,https://www.tiktok.com/@natmitsu9,Ev กับบ้านเราเสี่ยงจริงตอนนี้กระเเสมาเเรงจริงเเต่อย่าลืมข้อจำกัดบ้านเรา ทั้งจำนวนคน ความพร้อม วินัย,16-11-2022,720,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b226846c0fecc5cd63e309d387b9659d~c5_100x100.jpg?x-expires=1672887600&x-signature=p2ljcz1tAgU3AQ5oWbPAqp8qsYw%3D,No,---,41
3,TeeraphatPaphatsaro,teeraphatpaphatsaro,https://www.tiktok.com/@teeraphatpaphatsaro,แบตเตอรี่ มันเปลี่ยนได้อยู่แล้ว เปลี่ยนได้ทั้งชุดด้วย..อย่าลืม ทุกวันนี้ คนถอดเครื่องยนต์ทิ้ง ดีดแปลงใส่แบตเตอรี่ วิ่งฉิวเลย,17-11-2022,13,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/30f68ddb7202e978d7cf8b9abeb8b476.jpg?x-expires=1672887600&x-signature=e21TtxlyLbcM0myYls8MNSd8WpU%3D,Yes,ณัฏฐ์ วิฆเนศ,0
4,ศิริ เด๊ะ เสนาธรรม,daefatboy,https://www.tiktok.com/@daefatboy,มันชาร์ทที่บ้านได้ครับ,16-11-2022,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1658372461147137.jpg?x-expires=1672887600&x-signature=FynmxwDWThXZxos7GdNVz605heg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
5,ศิริ เด๊ะ เสนาธรรม,daefatboy,https://www.tiktok.com/@daefatboy,รถน้ำมันเติมที่บ้านได้แบบไฟฟ้ามั้ยอะครับ นั่นก็ข้อจำกัด,17-11-2022,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1658372461147137.jpg?x-expires=1672887600&x-signature=FynmxwDWThXZxos7GdNVz605heg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
6,ศิริ เด๊ะ เสนาธรรม,daefatboy,https://www.tiktok.com/@daefatboy,ถ้ารถเสีย ตอนเวลาเร่งด่วน คุณทำไงครับ,17-11-2022,1,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1658372461147137.jpg?x-expires=1672887600&x-signature=FynmxwDWThXZxos7GdNVz605heg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
7,ศิริ เด๊ะ เสนาธรรม,daefatboy,https://www.tiktok.com/@daefatboy,มันต้องคิดเผื่อตลอดรึปบ่าวเราไม่สมามารถ พึ่งรถเราเองได้ตลอดหรอก,17-11-2022,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1658372461147137.jpg?x-expires=1672887600&x-signature=FynmxwDWThXZxos7GdNVz605heg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
8,ศิริ เด๊ะ เสนาธรรม,daefatboy,https://www.tiktok.com/@daefatboy,เปิดออร์นอนในรถสบายๆ ไม่ต้องติดเครื่อง รถน้ำมันทำไม่ได้ ก็คือ ข้อจำกัด,17-11-2022,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1658372461147137.jpg?x-expires=1672887600&x-signature=FynmxwDWThXZxos7GdNVz605heg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
9,Ted,teddy4775,https://www.tiktok.com/@teddy4775,ปากซอยมีปั๊ม เติมไม่ถึง10นาทีกับ 8 ชั่วโมงป่าว,17-11-2022,6,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7053643616635322394.jpg?x-expires=1672894800&x-signature=1jvJs3PMrGUDS30bonqi8ci6NIw%3D,Yes,ณัฏฐ์ วิฆเนศ,0
10,ศิริ เด๊ะ เสนาธรรม,daefatboy,https://www.tiktok.com/@daefatboy,เติมที่บ้านได้เลย เหมือนรถ อีวี ได้มั้ยอะครับ อิอิ,17-11-2022,1,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1658372461147137.jpg?x-expires=1672887600&x-signature=FynmxwDWThXZxos7GdNVz605heg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
11,user4579231761122ใต้เจาะไอร้อง,user4579231761122,https://www.tiktok.com/@user4579231761122,แล้วรถไฟฟ้ามีจุดชาร์จแบตเหมือนรถเติมน้ำมันมั้ยล่ะ,17-11-2022,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/22042d07f3d142667af51c54e788b3b1~c5_100x100.jpg?x-expires=1672894800&x-signature=UvZohuy1eFuBdU5KIdDIcml3acg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
12,liuliuliuliu0022,liuliuliuliu0022,https://www.tiktok.com/@liuliuliuliu0022,ผมอยู่คอนโดครับไม่สะดวกอย่างแรงอิอิอิอิ,18-11-2022,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/97f3f988c663dac99bf407adf5ba9d06~c5_100x100.jpg?x-expires=1672894800&x-signature=FYxmAzy5ZQScDqmCi8zvgsWWe%2Bs%3D,Yes,ณัฏฐ์ วิฆเนศ,0
13,Kawin,winzazx,https://www.tiktok.com/@winzazx,ถึงรถน้ำมันจะชาร์จไฟที่บ้านแบบรถไฟฟ้าไม่ได้ แต่ปั๊มน้ำมันก็มีอยู่ทุกหนทุกแห่งเลยนะครับ ยิ่งในเมือง ขับๆไปก็เจอ ถ้าอยากชาร์จไฟได้PHEVก็เป็นอีกทางเลือก,22-11-2022,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/844d4b69870e6bee8a7f67b6c1f59816~c5_100x100.jpg?x-expires=1672894800&x-signature=4Sev8spDjM4ljB7jb0SeFVdHKog%3D,Yes,ณัฏฐ์ วิฆเนศ,0
14,Ronnachai Bunchuay,bayrocky,https://www.tiktok.com/@bayrocky,ตอนนี้ EV ยังไม่ได้ตอบโจทย์ขนาดนั้นครับต้องรออีกนิด,24-11-2022,1,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1662944888862721.jpg?x-expires=1672894800&x-signature=bOMLCje5gbBw6Lokiy2rgI4B5q8%3D,Yes,ณัฏฐ์ วิฆเนศ,0
15,ศิริ เด๊ะ เสนาธรรม,daefatboy,https://www.tiktok.com/@daefatboy,ราคาน้ำมัน เทียบกะการใช้รถไฟฟ้าต่อระยะทาง ไม่ตอบโจทย์ผมเช่นกันครับ,24-11-2022,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1658372461147137.jpg?x-expires=1672887600&x-signature=FynmxwDWThXZxos7GdNVz605heg%3D,Yes,ณัฏฐ์ วิฆเนศ,0
16,Tik Toker,luislopezconsa,https://www.tiktok.com/@luislopezconsa,ถ้าอยากให้ไฟฟ้าเร็วมีทางเดียวคือเปลี่ยนแบต ซึ่งต้องรออีกนานไหมแค่นั่นถึงจะมีที่ให้เปลี่ยน,17-11-2022,1,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1650261837956113.jpg?x-expires=1672894800&x-signature=ZnjbXYs2nqbQn60kTMMnEubhOzM%3D,Yes,ณัฏฐ์ วิฆเนศ,0
17,น่ารักจังงุบ,arntummai,https://www.tiktok.com/@arntummai,ซาเล้งนี่ตัวตึงช่องชาร์จเลย😂,13-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/834785e1bf42bad4a0a4db170eaadcae~c5_100x100.jpg?x-expires=1672894800&x-signature=%2BPXz8pGWu%2BAOV3%2Fd%2BFBkapD2e1A%3D,Yes,ณัฏฐ์ วิฆเนศ,0
18,SWYJN,swyjn7465,https://www.tiktok.com/@swyjn7465,ถูกครับ ฐานะผู้บริโภคอย่าไปออกตัวแรง ที่นี่เมืองไทยครับ😅🤣🤣,17-11-2022,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/fb746f0485ebd675618b4b6c53b7c74f~c5_100x100.jpg?x-expires=1672887600&x-signature=WUIZmrpVM8Y48edDv%2FUrcY6F%2BHE%3D,Yes,ณัฏฐ์ วิฆเนศ,0
