DateTime,Username,Comment
2021-08-08 01:30:58,Oni V,Hello :waving_hand: 
2021-08-08 02:26:17,beartai แบไต๋,#หนุ่ยทอล์ก ร่วมตอบทุกข้อสงสัยให้คุณรู้จริง! รู้ทุกเรื่อง! เกี่ยวกับรถยนต์ไฟฟ้า ก่อนตัดสินใจซื้อ ฝากกดติดตาม กดแชร์ ด้วยนะครับ
2021-08-08 02:30:50,S_Cha,super fast ทำให้ Battery เสื่อมไวไหมครับ
2021-08-08 02:43:39,สุรเมษ หนึ่งครับ,บ้านเรายังต้องซื้อไฟฟ้าจากพม่า จากลาวอยู่เลย
2021-08-08 02:49:18,Love love,ถ้ายังไม่มีตังค์...อย่าเพิ่งซื้อ
2021-08-08 03:01:02,SripraeYa,อยู่คอนโดทำยังไงคะ ยังไม่มีพวกที่ชาร์จเลย ทางนิติต้องแก้ไข หรือเราต้องบอกคะ
2021-08-08 03:01:07,๋JIB Home Alone,อรุณสวัสดิ์ครับคุณหนุ่ย
2021-08-08 03:02:32,Supertonnum,สวัสดีครับ
2021-08-08 03:03:01,พีพี various เกมส์,สวัสดีครับ
2021-08-08 03:06:57,mrgergos,Æ
2021-08-08 03:06:57,Thungpang,น่าสนใจมาก ถ้าราคาเอื้อมถึง
2021-08-08 03:06:58,beartai แบไต๋,ร่วมพูดคุยกับคุณจาตุรงค์ สุริยาศศิน รองผู้ว่าการ ฯ ธุรกิจและบริการ วันนี้ มาในฐานะ โฆษกการไฟฟ้านครหลวง (MEA)
2021-08-08 03:07:48,komin ferng,ถ้าประกอบเองละครับ
2021-08-08 03:08:34,Nuttaphat Huayudomsin,เลิกเก็บภาษีเทสล่าสิค้าบบบ จะได้บูมๆหน่อย
2021-08-08 03:08:34,Nithach Vassanapong,ลดภาษีได้ไมครับ
2021-08-08 03:08:43,beartai แบไต๋,ร่วมพูดคุยกับคุณกฤษฎา อุตตโมทย์ นายกสมาคมยานยนต์ไฟฟ้าไทย (EVAT) และผู้อำนวยการฝ่ายสื่อสารกิจการองค์กร บริษัท บีเอ็มดับเบิลยู กรุ๊ป ประเทศไทย
2021-08-08 03:08:51,Nuttaphat Huayudomsin,สมรรถนะสูงแต่ราคาแบบนี้ใครจะอยากใช้
2021-08-08 03:09:30,JustVibeEgg,ราชกิจจานุเบกษา ประกาศ กำหนดอัตราค่าไฟฟ้าสำหรับสถานีอัดประจุไฟฟ้าของยานยนต์ ทุกระดับแรงดัน 2.6 บาทต่อหน่วย ค่าบริการอีก 312 บาทต่อเดือน
2021-08-08 03:09:43,beartai แบไต๋,และรวมพูดคุยกับคุณสมเดช แสงสุรศักดิ์ ผู้เชี่ยวชาญวิจัย ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ (NECTEC)
2021-08-08 03:09:49,JustVibeEgg,ทำไมต้องมีค่าบริการ 312 บาท
2021-08-08 03:10:08,Catherine global,:thanksdoc::thanksdoc:
2021-08-08 03:10:33,beartai แบไต๋,"ระบบไฟฟ้าของบ้านที่รองรับรถยนต์ไฟฟ้าเป็นอย่างไร (ต้องใช้ขนาดมิเตอร์ไฟฟ้า, สายไฟ, เครื่องตัดไฟรั่วแบบไหน)"
2021-08-08 03:11:15,Nuttaphat Huayudomsin,ไปคุยเรื่องภาษีหน่อยคับบ อยากใช้จะตายอยู่แล้ว
2021-08-08 03:11:23,JustVibeEgg,ตอบด้วยนะ ทำไม่ต้องมีค่าบริหาร 312 บาท
2021-08-08 03:12:17,๋JIB Home Alone,ใช่ผมเคยส่งคลิปที่ว่าต้องขอหม้อแปลงใหม่ ในการใช้ไฟชาร์จรถไฟฟ้า
2021-08-08 03:13:57,Songpol Peak Kub,ถ้าอยู่บ้านเช่าแล้วต้องมีการย้ายที่อยู่ การย้ายที่ชาร์ตลำบากมั้ยครับ ค่าใช้จ่ายสูงหรือเปล่าครับ
2021-08-08 03:14:20,maxpkc,ชอบพี่ดีเจแบ่ไต่มาก
2021-08-08 03:14:50,RPM135,แต่ละขนาดมิเตอร์ การคำนวณค่าไฟต่างกันมั้ยคะ
2021-08-08 03:15:12,Peter Non,เราจะดูขนาดไฟฟ้า ที่เข้าบ้าน ได้ที่ไหนครับ
2021-08-08 03:15:15,beauty สาวสวย tiktok,สวัสดีค่ะ
2021-08-08 03:15:17,Chaiyasit Laowichuwakornnukul,รถยนต์สันดาปรุ่นเก่ารุ่นเดิมๆจะสามารถเปลี่ยนเป็นระบบไฟฟ้าได่อย่างถูกกฏหมายหรือเปล่าครับ
2021-08-08 03:16:17,Tommy Ratanasevee,แล้วเหตุใดไม่สามารถเพิ่มมิเตอร์อีกตัว (15แอมป์) เพื่อใช้กับรถไฟฟ้าโดยเฉพาะ เหมือน กฟภ. ครับ ???
2021-08-08 03:18:58,2tommyking,การขอเปลี่ยนมิเตอร์ 30(100) พร้อมระบบ แยกวงจร ev charger ไม่ทราบว่า ถ้าต้องการเปลี่ยน โดยที่ยังไม่มีติดตั้ง ev charger จริง สามารถขอดำเนินการได้หรือไม่ครับ (เป็นการคิดแบบเตรียมการล่วงหน้า)
2021-08-08 03:20:24,maythee lhekthed,ขอสอบถามครับ สำหรับคอนที่อยู่คอนโด จะมีแนวทางยังไงบ้างครับ
2021-08-08 03:21:06,Tommy Ratanasevee,@2tommyking ไม่ได้ครับ ต้องมีหลักฐานการซื้อรถยนต์ไฟฟ้า ถึงทำได้ครับ
2021-08-08 03:21:57,DEER_R R,ยังไม่มี รถไฟฟ้า จะเปลี่ยนได้มั้ย
2021-08-08 03:23:17,Sritrung Sarawat,ตอนนี้มีกฏหมายอะไรที่ส่งเสริม หรือจูงใจ ให้คนใช้รถไฟฟ้าบ้าง
2021-08-08 03:24:39,ittikorn,hello
2021-08-08 03:24:50,beartai แบไต๋,ร่วมพูดคุยกับคุณสมเดช แสงสุรศักดิ์ ผู้เชี่ยวชาญวิจัย ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ (NECTEC)
2021-08-08 03:27:36,2tommyking,@Tommy Ratanasevee ขอบคุณสำหรับคำตอบครับ
2021-08-08 03:27:40,yunim477,ชอบรายการแบบนี้ทำอีกนะคะ
2021-08-08 03:28:17,Dha Nik,คุยภาษาให้ง่ายขึ้นหน่อยครับ
2021-08-08 03:29:59,Amane Ojakasa,สวัสดีครับ
2021-08-08 03:34:15,Nuttapon Sangjumpa,ต้องซื้อที่ชาร์จ wall electric คุ้มไหมครับ ?
2021-08-08 03:34:17,beartai แบไต๋,วันธรรมดาชาร์ตไฟหลัง 4 ทุ่ม - ก่อน 6 โมงเช้า จะราคาถูกกว่า
2021-08-08 03:34:27,Titipong Chirakorntrakul,จะรู้ได้ไงว่าบ้านเราใช้ไฟประเภทไหน EOU?
