DateTime,Username,Comment
2022-09-28 12:39:46,Tanzineko,น.. นั่นเขาใช่มั้ย พี่นพ extreme IT
2022-09-28 12:44:08,Extreme IT,สวัสดีคร๊าบ
2022-09-28 12:53:55,beartai แบไต๋,#แพนกันวันพุธ วันนี้คุยกับคุณนพ #ExtremeIT ในประเด็น พ.ศ. นี้ควรซื้อรถไฮบริดหรือรถไฟฟ้ากันแน่ ฝากกดไลก์ กดแชร์ ด้วยนะครับ
2022-09-28 12:58:15,Atchariya Mana,FC Extreme IT ค่าาา
2022-09-28 13:00:54,Sarawut Tum,สวัสดีครับ
2022-09-28 13:01:09,Sarawut Tum,ผมใหม่อะไรใหม่
2022-09-28 13:04:26,Sritrung Sarawat,นั่นสิ ซื้อรถอะไรดี
2022-09-28 13:09:03,BeeR PP,ถ้าคิดถึงเสียงเครื่อง BMW เขามี artificial sounds ยุนะครับ :grinning_squinting_face:
2022-09-28 13:09:11,Pen Aek,Infar. ทั้วประเทศพร้อมยังครับ
2022-09-28 13:11:02,Pen Aek,ตอนนี้ราคารถยนต์ Pure EV. ยังไม่เป็นมิตรกับเงินในกระเป๋าครับ :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:
2022-09-28 13:11:42,Piglet,อย่าซื้อรถยนต์ไฟฟ้า เดี๋ยวแย่งผมชาร์จไฟในช่วงเทศกาล
2022-09-28 13:12:01,Thailand Flutist | Bunnaphat Tangpaiboon,:thumbs_up::thumbs_up::thumbs_up:
2022-09-28 13:12:46,อาจีเค เอฟเอฟ,:yt:
2022-09-28 13:12:58,Aeramon Targaryan,ผมรอวันที่รถ EV ใช้พอร์ต Type C ในการชาร์จไฟ :face_with_tears_of_joy:
2022-09-28 13:14:29,Pen Aek,แล้วถ้าเดินทางออก ตจว. ต้องวางแผนในการหาจุดชาร์จมั้ยครับ
2022-09-28 13:14:36,Nutt89,ผมใช้ PHEV เติมน้ำมันล่าสุดเมื่อตอนสงกานต์ :rolling_on_the_floor_laughing:
2022-09-28 13:15:16,Sam August,ทำไมถึงไม่ทำให้เป็นแบบเปลี่ยนแบตเตอรี่ได้ครับ
2022-09-28 13:15:39,นายวิทยา อุดมศรี,"neta v. 549,000 บาท คือที่สุด"
2022-09-28 13:15:52,Thailand Game Show,แฟนขับพรีแพนและคุณนพนะฮัฟฟฟฟ
2022-09-28 13:15:54,Poowanai Pilachart,"ชาร์จที่บ้านค่าไฟเพิ่มไหม…….,….แล้วเพิ่มเท่าไหร่"
2022-09-28 13:16:52,นายวิทยา อุดมศรี,ต้องวางเเผนสิคับ เพราะสถานที่ชาร์จในเเต่ละที่มันอาจตะรองรับเต้าเสียบไม่เหมือนกัน
2022-09-28 13:17:58,นายวิทยา อุดมศรี,wuling ev. ก็น่ารักนะ
2022-09-28 13:18:30,Pen Aek,รถยนต์ Pure EV. จอดชาร์จกลางฝนได้มั้ยครับ
2022-09-28 13:18:46,QwertyMen,Phev ปัญหาเยอะไหม ที่คุยกันเมื่อกี้HEVใช่ไหมครับ
2022-09-28 13:18:52,นายวิทยา อุดมศรี,ควรจะเหลือเเบตเตอร์สัก20เปอร์เซ็นเพื่อวนหาสถานีชาร์จ
2022-09-28 13:18:53,Aeramon Targaryan,น่าจะเพราะยิ่งประจุถูกเติมมากขึ้น แรงดันไฟย้อนกลับยิ่งแรงขึ้น ทำให้เกิดความหน่วงส่งผลให้ไฟเข้าได้ช้าลงเรื่อยๆ เดาๆ
2022-09-28 13:19:35,Sarawut Tum,ที่คุณอู๋ spin9 รีวิวขับไปสิงคโปรสนุกมาก
2022-09-28 13:19:47,preecha pumrungreong,ที่จีนเขามีการเปลี่ยนแบตได้เป็น subscribe 
2022-09-28 13:19:56,Aeramon Targaryan,แบตมันเหมือนจะมีหลายๆลูกต่อกันเป็นแพ
2022-09-28 13:20:12,Pen Aek,ตอนนี้ราคารถยนต์ Pure EV. ยังไม่เป็นมิตรกับเงินในกระเป๋าครับ :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:
2022-09-28 13:20:25,Pop Natthawut,ระยะทางที่วิ่งได้ไกลสุดตอนนี้ได้กี่กิโลครับ และถ้าซื้อรถ จุดนี้สำคัญไหม ที่ต้องวิ่งได้ไกล
2022-09-28 13:20:30,preecha pumrungreong,เปลี่ยนแบตแบบจีนก็ดีนะครับ สะดวกด้วย
2022-09-28 13:20:32,PLD,คำถามครับ รถยนต์ไฟฟ้าสามารถบรรทุกหนักได้ไหมครับ ซัก 2 ตัน
2022-09-28 13:21:17,Jekgabot,Nio ครับ มีสเตชั่นเปลี่ยนแบต
2022-09-28 13:21:53,นายวิทยา อุดมศรี,ถ้าทำรถ ev. ที่มีเเผงโซล่าเซลล์บนหลังคารถจะดีมาก
2022-09-28 13:22:13,Pen Aek,ใช่น้อยจังครับ เดือนละ พันโล เอง :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:
2022-09-28 13:22:58,Sukrit,ค่ายางmodel3แพงไหมครับ
2022-09-28 13:22:58,Aeramon Targaryan,แอร์ไม่ติด = Power Saving รึป่าวครับ
